t	P_2
0.000000	0.000000
0.100000	0.000000
0.200000	0.000000
0.300000	0.000000
0.400000	0.000000
0.500000	0.000000
0.600000	0.000000
0.700000	0.000000
0.800000	-4.780928
0.900000	4.323471
1.000000	0.888998
1.100000	3.462354
1.200000	-0.694931
1.300000	-1.416968
1.400000	0.678510
1.500000	5.209864
1.600000	0.816040
1.700000	-1.657884
1.800000	-2.352348
1.900000	-1.406642
2.000000	1.039889
2.100000	4.431983
2.200000	33.456828
2.300000	59.886553
2.400000	57.756458
2.500000	46.476524
2.600000	35.996292
2.700000	26.355592
2.800000	17.467255
2.900000	9.229630
3.000000	1.566413
3.100000	-5.635705
3.200000	-12.473851
3.300000	-19.026445
3.400000	-25.399600
3.500000	-31.708158
3.600000	-38.006401
3.700000	-44.412704
3.800000	-51.052585
3.900000	-57.988149
4.000000	-65.313154
4.100000	-66.945504
4.200000	-34.093880
4.300000	6.824101
4.400000	4.626688
4.500000	2.500645
4.600000	-0.611180
4.700000	6.260517
4.800000	0.923373
4.900000	5.376605
5.000000	-2.585159
5.100000	-0.913568
5.200000	-0.775649
5.300000	-2.243531
5.400000	5.657184
5.500000	0.736541
5.600000	5.025183
5.700000	-3.687531
5.800000	-3.324211
5.900000	6.062561
6.000000	2.269122
6.100000	-3.726262
6.200000	-0.964416
6.300000	-0.471042
6.400000	-2.391022
6.500000	4.415797
6.600000	-2.366248
6.700000	-0.540761
6.800000	-1.301769
6.900000	-4.683654
7.000000	0.440233
7.100000	2.852424
7.200000	2.612366
7.300000	-0.385298
7.400000	-6.050073
7.500000	-3.461039
7.600000	-3.642134
7.700000	-6.642854
7.800000	-1.367253
7.900000	0.995205
8.000000	0.574613
8.100000	-2.631047
8.200000	-8.469404
8.300000	-6.486583
8.400000	-6.486583
8.500000	-6.486583
8.600000	-6.486583
8.700000	-6.486583
8.800000	-6.486583
8.900000	-6.486583
9.000000	-6.486583
9.100000	-6.486583
9.200000	-6.486583
9.300000	-6.486583
9.400000	-6.486583
9.500000	-6.486583
9.600000	-6.486583
9.700000	-6.486583
9.800000	-6.486583
9.900000	-6.486583
10.000000	-6.486583
10.100000	-6.486583
10.200000	-6.486583
10.300000	-6.486583
10.400000	-6.486583
10.500000	-6.486583
10.600000	-6.486583
10.700000	-6.486583
10.800000	-6.486583
10.900000	-6.486583
11.000000	-6.486583
11.100000	-6.486583
11.200000	-6.486583
11.300000	-6.486583
11.400000	-6.486583
11.500000	-6.486583
