tauA	D
0.735000	851.591819
0.736000	851.871703
0.737000	851.481417
0.738000	850.399439
0.739000	850.578672
0.740000	850.157956
0.741000	849.580240
0.742000	849.450745
0.743000	849.124097
0.744000	848.542031
0.745000	848.523879
0.746000	848.252635
0.747000	847.979884
0.748000	847.867845
0.749000	847.722472
0.750000	847.568498
0.751000	847.433936
0.752000	847.358832
0.753000	847.284988
0.754000	847.229583
0.755000	847.206916
0.756000	847.205970
0.757000	847.224355
0.758000	847.267561
0.759000	847.322029
0.760000	847.521296
0.761000	847.534411
0.762000	847.640290
0.763000	847.807438
0.764000	847.965419
0.765000	848.137791
